Date,Code,Type,Category,Details,Amount
2021-12-29,ACH,Income,<Account Adjustment>,Starting Balance,453.54
2022-01-03,DEP,Income,Transfer from Savings,Transfer from Capital One,1200.0
2022-01-03,POS,Expenses,Credit Card,Paid off credit card,350.0
2022-01-03,POS,Expenses,Credit Card,Paid off credit card,992.24
2022-01-06,DEP,Income,Deposit TWO,County Fair,429.87
2022-01-07,POS,Expenses,Other,Venmo for Holiday Challenge,10.5
2022-01-10,DEP,Income,Transfer from Other,Transfer from Dad,400.0
2022-01-12,POS,Expenses,Credit Card,Paid off credit card,1000.0
2022-01-18,DEP,Income,Transfer from Savings,Transfer from Capital One,1500.0
2022-01-18,POS,Expenses,Credit Card,Paid off credit card,868.2
2022-01-24,POS,Expenses,Education/Training,SDSU Tuition and Fees,5252.44
2022-01-24,DEP,Income,Transfer from Savings,Transfer from Capital One,6000.0
2022-02-01,POS,Expenses,Other,Accidental transfer from Capital One to Dad,100.0
2022-02-02,POS,Expenses,Credit Card,Paid off credit card,274.08
2022-02-07,DEP,Income,Transfer from Other,Accidental transfer from Capital One to Dad (reimbursment),100.0
2022-02-28,POS,Expenses,Recreation,Venmo for Hotel in Grand Forks (Indoor TF Conference),21.0
2022-03-04,POS,Expenses,Credit Card,Paid off credit card,766.05
2022-03-14,DEP,Income,Transfer from Savings,Transfer from Capital One,2093.0
2022-03-25,POS,Expenses,Credit Card,Paid off credit card,509.96
2022-03-28,POS,Expenses,Other,Venmo for Garbussy,14.53
2022-03-28,POS,Expenses,Recreation,Venmo for Rodzilla shirt,20.0
2022-04-11,DEP,Income,Transfer from Other,Dad Reimbursing for Ice Cream in Sioux City with family Venmo,33.7
2022-04-11,POS,Expenses,Recreation,Venmo for Ice Cream in Sioux City with family,33.7
2022-04-11,POS,Expenses,Gas & Misc.,Venmo for gas to USD Meet (Andrew Pick),10.0
2022-04-11,POS,Expenses,Gas & Misc.,Venmo for gas to USD Meet (Andrew Pick) again,10.0
2022-04-22,POS,Expenses,Credit Card,Paid off credit card,342.24
2022-04-22,POS,Expenses,Gas & Misc.,Venmo for gas to USD Meet (Andrew Pick),4.6
2022-04-28,POS,Expenses,Recreation,Venmo for pi hat in Des Moines (Jacob Knodle),10.0
2022-05-02,POS,Expenses,Recreation,Venmo for Taco Bell in Des Moines (Kyle Nordling),10.0
2022-05-02,POS,Expenses,Gas & Misc.,Venmo for gas to Simpson Meet (Kyle Nordling),33.0
2022-05-04,POS,Expenses,Education/Training,Venmo for Hobo Dough (Wyatt Ash),50.0
2022-05-06,POS,Expenses,Education/Training,Venmo for Garmin watch (Andrew Pick),90.0
2022-05-09,POS,Expenses,Other,Spent money at Kohls,157.28
2022-05-09,POS,Expenses,Other,Wrote Mom a check,30.0
2022-05-16,POS,Expenses,Credit Card,Paid off credit card,594.45
2022-05-23,DEP,Income,Transfer from Other,Venmo cashout,88.86
2022-05-23,POS,Expenses,Recreation,Withdrew cash to buy Apple Watch,120.0
2022-05-27,DEP,Income,Deposit ONE,KBR Paycheck,1328.85
2022-05-27,DEP,Income,Deposit Other,Deposit check from Mom,164.0
2022-05-31,POS,Expenses,Other,Venmo for City Wide Rummage for Mom,5.0
2022-06-10,DEP,Income,Deposit ONE,KBR Paycheck,1328.85
2022-06-10,POS,Expenses,Recreation,Venmo for Taco Bell (Ryker Pedde),4.5
2022-06-13,POS,Expenses,Credit Card,Paid off credit card,901.8
2022-06-21,POS,Expenses,Credit Card,Paid off credit card,1238.6
2022-06-24,DEP,Income,Deposit ONE,KBR Paycheck,1328.85
2022-06-27,DEP,Income,Transfer from Other,Venmo cashout,25.0
2022-06-28,POS,Expenses,Health Care,Wrote a check to Dakota Dermatology,80.0
2022-07-06,POS,Expenses,Credit Card,Paid off credit card,322.56
2022-07-08,DEP,Income,Deposit ONE,KBR Paycheck,1328.85
2022-07-13,POS,Expenses,Recreation,Withdrew cash for something I can't remember,200.0
2022-07-18,DEP,Income,Transfer from Other,Venmo cashout,50.0
2022-07-18,DEP,Income,Transfer from Other,Transfer from Dad,2000.0
2022-07-22,DEP,Income,Deposit ONE,KBR Paycheck,1238.2
2022-07-22,POS,Expenses,Recreation,Venmo for coffee (Ryker Pedde),3.5
2022-08-01,POS,Expenses,Credit Card,Paid off credit card,741.1
2022-08-05,DEP,Income,Deposit ONE,KBR Paycheck,1328.85
2022-08-08,POS,Expenses,Recreation,Venmo for Team Camp (Mason McDonald),95.0
2022-08-09,POS,Expenses,Other,Wrote Mom a check,61.0
2022-08-16,POS,Expenses,Recreation,Venmo for pizza at Team Camp (Max Selbach),7.0
2022-08-16,POS,Expenses,Recreation,Venmo for pizza at Team Camp (Max Selbach),1.5
2022-08-16,POS,Expenses,Recreation,Venmo for pizza at Team Camp (Max Selbach),2.0
2022-08-19,DEP,Income,Deposit ONE,KBR Paycheck,1328.85
2022-09-01,POS,Expenses,Credit Card,Paid off credit card,756.95
2022-09-02,DEP,Income,Deposit ONE,KBR Paycheck,90.67
2022-09-02,POS,Expenses,Education/Training,SDSU Tuition and Fees,5635.29
2022-09-06,DEP,Income,Transfer from Other,Venmo cashout,276.5
2022-09-06,POS,Expenses,Recreation,Venmo for skydiving (Rana Hegg),200.0
2022-09-06,POS,Expenses,Recreation,Venmo for skydiving again (Rana Hegg),100.0
2022-09-15,POS,Expenses,Recreation,Venmo for bread (Max Selbach),4.0
2022-09-16,DEP,Income,Deposit ONE,KBR Paycheck,231.2
2022-09-26,DEP,Income,Transfer from Other,Venmo cashout,50.0
2022-09-26,POS,Expenses,Recreation,Venmo for pizza after duck hunting (Mason McDonald),4.0
2022-09-26,POS,Expenses,Credit Card,Paid off credit card,345.46
2022-09-30,DEP,Income,Deposit ONE,KBR Paycheck,213.06
2022-10-13,POS,Expenses,Recreation,Venmo for skydiving pictures/video (Rana Hegg),20.0
2022-10-14,DEP,Income,Deposit ONE,KBR Paycheck,235.73
2022-10-17,DEP,Income,Transfer from Other,Venmo cashout,40.0
2022-10-17,POS,Expenses,Gas & Misc.,"Venmo for gas to Platte River Rumble in Omaha, NE (Kyle Nordling)",16.01
2022-10-17,POS,Expenses,Credit Card,Paid off credit card,391.77
2022-10-24,POS,Expenses,Recreation,Venmo for haunted house in Brookings (Rana Hegg),25.0
2022-10-26,DEP,Income,Transfer from Other,Venmo cashout,57.5
2022-10-26,POS,Expenses,Groceries,Venmo for Walmart run (Andrew Pick),13.0
2022-10-27,DEP,Income,Transfer from Other,Transfer from Dad (Dr. Levi),30.0
2022-10-28,DEP,Income,Deposit ONE,KBR Paycheck,172.27
2022-11-01,POS,Expenses,Other,Tranfer to Dad (House Payment mistake),1000.0
2022-11-03,POS,Expenses,Credit Card,Paid off credit card,586.61
2022-11-03,POS,Expenses,Recreation,Venmo for SDSU XC/TF hat (Will Lohr),22.0
2022-11-04,DEP,Income,Transfer from Other,Tranfer from Dad (House Payment mistake),1500.0
2022-11-10,DEP,Income,Deposit ONE,KBR Paycheck,199.47
2022-11-14,POS,Expenses,Gas & Misc.,"Venmo for gas to Regionals XC Meet Columbia, MO (Nate Notgrass)",45.0
2022-11-16,POS,Expenses,Rent,Venmo for first half of house deposit for The Nest (Daniel Burkhalter),175.0
2022-11-22,POS,Expenses,Other,Accidental transfer from savings,100.0
2022-11-23,POS,Expenses,Dining Out,Venmo for breakfast (Rana Hegg),5.0
2022-11-23,POS,Expenses,Dining Out,Venmo for breakfast (Rana Hegg),5.0
2022-11-23,POS,Expenses,Dining Out,Venmo for breakfast (Rana Hegg),5.0
2022-11-23,POS,Expenses,Dining Out,Venmo for breakfast (Rana Hegg),5.0
2022-11-25,DEP,Income,Deposit ONE,KBR Paycheck,294.66
2022-11-25,DEP,Income,Transfer from Other,Venmo cashout,22.6
2022-12-01,DEP,Income,Transfer from Other,Venmo cashout,10.0
2022-12-01,POS,Expenses,Other,Venmo for Project Joy (Ben Olson),10.0
2022-12-02,POS,Expenses,Other,Wrote a check to Clerk of Courts (speeding ticket),117.5
2022-12-05,DEP,Income,Transfer from Other,Accidental transfer from savings reimbursement (Dad),100.0
2022-12-05,POS,Expenses,Gas & Misc.,Venmo for gas (I think) (Rana Hegg),50.0
2022-12-05,POS,Expenses,Gas & Misc.,Venmo for gas (I think) again (Rana Hegg),25.0
2022-12-05,POS,Expenses,Groceries,Venmo for groceries (Rana Hegg),8.0
2022-12-08,POS,Expenses,Credit Card,Paid off credit card,496.41
2022-12-09,DEP,Income,Deposit ONE,KBR Paycheck,181.33
2022-12-19,DEP,Income,Transfer from Other,Venmo cashout,64.0
2022-12-19,POS,Expenses,Other,Wrote Mom a check,100.0
2022-12-23,DEP,Income,Deposit ONE,KBR Paycheck,575.0
2022-12-27,POS,Expenses,Credit Card,Paid off credit card,327.64
2022-12-28,DEP,Income,Deposit Other,Deposit check from SDSU and Christmas $100,600.0
2022-12-29,POS,Expenses,Education/Training,Credit card for Coursera SQL Course and Chegg bill,62.79
2023-01-01,POS,Expenses,Recreation,Venmo for unicorn pinata (Rana Hegg),20.0
2023-01-06,DEP,Income,Deposit ONE,KBR Paycheck,1207.46
2023-01-09,POS,Expenses,Groceries,Groceries at Walmart,34.79
2023-01-09,POS,Expenses,Credit Card,Paid off credit card,60.34
2023-01-13,DEP,Income,Deposit Other,Venmo cashout,30.0
2023-01-13,POS,Expenses,Other,Venmo for door mat (Brandon Clausen),13.0
2023-01-17,DEP,Income,Deposit Other,Venmo cashout,27.0
2023-01-18,DEP,Income,Transfer from Savings,Transfer from Capital One,1800.0
2023-01-20,DEP,Income,Deposit ONE,KBR Paycheck,772.36
2023-01-20,POS,Expenses,Education/Training,SDSU Tuition and Fees,5325.6
2023-01-25,POS,Expenses,Groceries,Venmo for Oreos (Andrew Pick),2.0
2023-01-27,POS,Expenses,Recreation,Venmo for Dragonflys (Rod DeHaven),96.0
2023-01-30,POS,Expenses,Credit Card,Paid off credit card,25.0
2023-01-31,DEP,Income,Deposit Other,Venmo cashout,77.0
2023-01-31,POS,Expenses,Chegg,Venmo for something and chegg (Rana Hegg),45.0
2023-02-03,DEP,Income,Deposit ONE,KBR Paycheck,339.99
2023-02-08,DEP,Income,Deposit Other,Wells Fargo Rewards,525.0
2023-02-08,POS,Expenses,Credit Card,Paid off credit card,483.5
2023-02-10,DEP,Income,Deposit Other,Deposit cash,112.46
2023-02-14,POS,Expenses,Gas & Misc.,New tires and gas,1028.84
2023-02-17,DEP,Income,Deposit ONE,KBR Paycheck,835.4
2023-03-03,DEP,Income,Deposit ONE,KBR Paycheck,438.85
2023-03-07,POS,Expenses,Credit Card,Paid off credit card,574.35
2023-03-10,POS,Expenses,Groceries,Venmo for groceries for spring break (Rana Hegg),73.0
2023-03-13,POS,Expenses,Other,Bought something at a gas station,1.94
2023-03-15,POS,Expenses,Recreation,Venmo for skiing in Arizona (Rana Hegg),165.0
2023-03-15,POS,Expenses,Groceries,Venmo for groceries for spring break (Rana Hegg),74.0
2023-03-15,POS,Expenses,Dining Out,Venmo for green chili burger in Arizona (Rana Hegg),18.0
2023-03-15,POS,Expenses,Recreation,Venmo for AZ Snow Bowl sweatshirt (Andrew Pick),57.0
2023-03-17,DEP,Income,Deposit ONE,KBR Paycheck,384.0
2023-03-20,DEP,Income,Deposit Other,Venmo cashout,20.0
2023-03-20,DEP,Income,Deposit Other,Venmo cashout,107.71
2023-03-20,POS,Expenses,Recreation,Root beer float for Rana,5.53
2023-03-20,POS,Expenses,Dining Out,Venmo for Chipotle (Rana Hegg),7.0
2023-03-20,POS,Expenses,Gas & Misc.,Venmo for gas for spring break (Rana Hegg),267.98
2023-03-20,POS,Expenses,Credit Card,Paid off credit card,265.53
2023-03-23,POS,Expenses,Recreation,Bought a cupcake for Dad's birthday (Colorado),4.88
2023-03-25,POS,Expenses,Apple Music,Apple Music,6.38
2023-03-26,POS,Expenses,Recreation,Bought Taco Bell,5.38
2023-03-27,POS,Expenses,Chegg,Chegg,21.25
2023-03-30,POS,Expenses,Gas & Misc.,Gas,50.0
2023-03-31,DEP,Income,Deposit ONE,KBR Paycheck,438.83
2023-04-03,POS,Expenses,Gas & Misc.,Gas,35.0
2023-04-04,ACH,Savings,Capital One,Transfer to savings,800.0
2023-04-05,POS,Expenses,Education/Training,USD Early Bird registration fee,29.0
2023-04-06,POS,Expenses,Dining Out,Venmo for Hy-Chi (Rana Hegg),5.37
2023-04-07,POS,Expenses,Groceries,Groceries - Hy-Vee,9.24
2023-04-07,POS,Expenses,Groceries,Bought Body Armour for race,3.51
2023-04-10,DEP,Income,Deposit Other,Venmo cashout,10.0
2023-04-10,POS,Expenses,Recreation,Bought sandwhich at Jimmy John's,8.58
2023-04-10,POS,Expenses,Recreation,Venmo for cheeseball (Andrew Pick),0.11
2023-04-10,POS,Expenses,Recreation,Bought supper in Verm with Andrew Pick (Old Lumber Co.),16.75
2023-04-10,POS,Expenses,Gas & Misc.,Gas,50.0
2023-04-10,POS,Expenses,Other,Venmo for Mom's birthday gift (Menards giftcard) (Caden Lackey),25.0
2023-04-10,POS,Expenses,Gas & Misc.,Gas,61.0
2023-04-10,POS,Expenses,Recreation,Venmo for losing at Easter poker (Ella Hegg),5.0
2023-04-11,POS,Expenses,Dining Out,Venmo for Applebees (Rana Hegg),0.01
2023-04-11,DEP,Income,Deposit Other,Venmo cashout,10.02
2023-04-11,POS,Expenses,Gas & Misc.,SDSU Parking ticket,25.0
2023-04-11,POS,Expenses,Dining Out,Went to Applebees,44.72
2023-04-12,POS,Expenses,Recreation,Bought Icee at Caseys,1.39
2023-04-12,POS,Expenses,Groceries,Bought ice at Walmart,4.88
2023-04-12,POS,Expenses,Groceries,Venmo for contact solution (Rana Hegg),19.0
2023-04-14,DEP,Income,Deposit ONE,KBR Paycheck,249.35
2023-04-17,DEP,Income,Deposit Other,Deposit check from Mom,100.0
2023-04-17,DEP,Income,Transfer from Savings,Closed Wells Fargo Savings Account,301.22
2023-04-17,POS,Expenses,Groceries,Venmo for beef and broccoli (Rana Hegg),11.53
2023-04-17,POS,Expenses,Groceries,Venmo for Ice Cream (Rana Hegg),6.0
2023-04-20,POS,Expenses,Recreation,ATM withdrawal to buy gravel bike,450.0
2023-04-20,POS,Expenses,Gas & Misc.,Gas,40.0
2023-04-20,POS,Expenses,Health Care,Eye Doctor,586.4
2023-04-20,POS,Expenses,Gas & Misc.,Gas,56.8
2023-04-20,POS,Expenses,Health Care,Eye doctor co-pay,89.0
2023-04-24,DEP,Income,Transfer from Other,Transfer from Dad (eye doctor),550.0
2023-04-24,POS,Expenses,Recreation,Venmo sparkling water (Brandon Clausen) ,4.0
2023-04-24,POS,Expenses,Gas & Misc.,Gas,50.0
2023-04-24,POS,Expenses,Recreation,Bought drink at gas station,3.4
2023-04-24,POS,Expenses,Gas & Misc.,Gas,18.87
2023-04-25,POS,Expenses,Education/Training,Race entry fee for Kip Janvrin Invite,34.0
2023-04-24,POS,Expenses,Apple Music,Apple Music,6.38
2023-04-26,POS,Expenses,Gas & Misc.,Parking ticket,30.0
2023-04-27,POS,Expenses,Chegg,Chegg,21.25
2023-04-27,POS,Expenses,Recreation,Venmo for Body Armor (Cooper Greenslade),3.69
2023-04-28,DEP,Income,Deposit ONE,KBR Paycheck,498.1
2023-04-28,POS,Expenses,Gas & Misc.,Venmo for gas money (Josh Becker),18.69
2023-04-28,POS,Expenses,Recreation,Bought Tato-Lays in Des Moines,2.78
2023-04-28,POS,Expenses,Recreation,Bought Taco Bell,10.63
2023-04-28,POS,Expenses,Recreation,Bought Jimmy John's,10.37
2023-04-28,POS,Expenses,Gas & Misc.,Gas,4.0
2023-04-29,POS,Expenses,Groceries,Bought chicken breast and pesto sauce packet,10.65
2023-05-01,DEP,Income,Deposit Other,Venmo cashout,31.69
2023-05-01,DEP,Income,Transfer from Savings,Empties savings account,0.02
2023-05-02,POS,Expenses,Education/Training,USD Tune Up entry fee,29.0
2023-05-03,POS,Expenses,Recreation,Bought Cadburry Eggs for Rana,21.29
2023-05-05,POS,Expenses,Gas & Misc.,Gas,53.08
2023-05-05,POS,Expenses,Recreation,TC Summerfest tickets (Imagine Dragons concert)(bought for everyone),825.0
2023-05-05,POS,Expenses,Recreation,TC Summerfest tickets (Imagine Dragons concert)(bought for Elizabeth),275.0
2023-05-05,DEP,Income,Deposit Other,Venmo cashout,4.2
2023-05-07,POS,Expenses,Gas & Misc.,Gas,40.0
2023-05-07,POS,Expenses,Gas & Misc.,Gas,10.0
2023-05-07,POS,Expenses,Recreation,Bought $5 shirt at Men's Wearhouse,5.29
2023-05-08,POS,Expenses,Recreation,Bought Birks at Scheels (wrong size),118.45
2023-05-08,POS,Expenses,Recreation,Traded in Birks for different model,10.6
2023-05-08,DEP,Income,Deposit Other,Scheels refund for spring break hiking pants,42.59
2023-05-08,DEP,Income,Deposit Other,Venmo cashout,825.0
2023-05-08,POS,Expenses,Groceries,Bought yogurt at Sam's Club,29.03
2023-05-09,POS,Expenses,Recreation,"Bought Birk ""goop""",10.65
2023-05-09,POS,Expenses,Health Care,Chiropractor,30.0
2023-05-11,POS,Expenses,Recreation,Bought something at Scheels,21.29
2023-05-11,POS,Expenses,Recreation,Coffee,5.86
2023-05-12,POS,Expenses,Health Care,Dakota Dermatology,30.0
2023-05-12,POS,Expenses,Gas & Misc.,Gas,50.0
2023-05-12,DEP,Income,Deposit ONE,KBR Paycheck,274.28
2023-05-14,POS,Expenses,Groceries,Bought dry black beans,5.87
2023-05-15,POS,Expenses,Haircuts,Haircut,23.11
2023-05-16,POS,Expenses,Recreation,Bought a hammock,74.5
2023-05-16,POS,Expenses,Gas & Misc.,Oil change,47.91
2023-05-17,POS,Expenses,Gas & Misc.,Gas,50.0
2023-05-17,POS,Expenses,Recreation,Bought correct hammock,47.87
2023-05-17,DEP,Income,Deposit Other,Scheels refund for hammock,15.98
2023-05-22,POS,Expenses,Groceries,Bought drinks at Caysey's,8.86
2023-05-25,POS,Expenses,Apple Music,Apple Music,6.38
2023-05-25,POS,Expenses,Rent,Rest of Security Depost (The Nest),175.0
2023-05-26,DEP,Income,Deposit ONE,KBR Paycheck,1598.42
2023-05-26,POS,Expenses,Gas & Misc.,Gas,50.0
2023-05-27,POS,Expenses,Recreation,Bought stuff for planting basil,11.26
