Date,Code,Type,Category,Details,Amount
12/29/2021,ACH,Income,<Account Adjustment>,Starting Balance,453.54
1/3/2022,DEP,Income,Transfer from Savings,Transfer from Big Savings Bank,1200
1/3/2022,POS,Expenses,Credit Card,Paid off credit card,350
1/3/2022,POS,Expenses,Credit Card,Paid off credit card,992.24
1/6/2022,DEP,Income,Deposit TWO,GroceryPlus,429.87
1/7/2022,POS,Expenses,Other,Venmo for Holiday Challenge,10.5
1/10/2022,DEP,Income,Transfer from Other,Transfer from Dad,400
1/12/2022,POS,Expenses,Credit Card,Paid off credit card,1000
1/18/2022,DEP,Income,Transfer from Savings,Transfer from Big Savings Bank,1500
1/18/2022,POS,Expenses,Credit Card,Paid off credit card,868.2
1/24/2022,POS,Expenses,Education/Training,College University Tuition and Fees,5252.44
1/24/2022,DEP,Income,Transfer from Savings,Transfer from Big Savings Bank,6000
2/1/2022,POS,Expenses,Other,Accidental transfer from Big Savings Bank to Dad,100
2/2/2022,POS,Expenses,Credit Card,Paid off credit card,274.08
2/7/2022,DEP,Income,Transfer from Other,Accidental transfer from Big Savings Bank to Dad (reimbursment),100
2/28/2022,POS,Expenses,Recreation,Venmo for Hotel in Grand Forks (Indoor TF Conference),21
3/4/2022,POS,Expenses,Credit Card,Paid off credit card,766.05
3/14/2022,DEP,Income,Transfer from Savings,Transfer from Big Savings Bank,2093
3/25/2022,POS,Expenses,Credit Card,Paid off credit card,509.96
3/28/2022,POS,Expenses,Other,Venmo for Garbussy,14.53
3/28/2022,POS,Expenses,Recreation,Venmo for Rodzilla shirt,20
4/11/2022,DEP,Income,Transfer from Other,Dad Reimbursing for Ice Cream in Sioux City with family Venmo,33.7
4/11/2022,POS,Expenses,Recreation,Venmo for Ice Cream in Sioux City with family,33.7
4/11/2022,POS,Expenses,Gas & Misc.,Venmo for gas to USD Meet (John Doe),10
4/11/2022,POS,Expenses,Gas & Misc.,Venmo for gas to USD Meet (John Doe) again,10
4/22/2022,POS,Expenses,Credit Card,Paid off credit card,342.24
4/22/2022,POS,Expenses,Gas & Misc.,Venmo for gas to USD Meet (John Doe),4.6
4/28/2022,POS,Expenses,Recreation,Venmo for pi hat in Des Moines (Carl Hanson),10
5/2/2022,POS,Expenses,Recreation,Venmo for Taco Bell in Des Moines (Adam Smith),10
5/2/2022,POS,Expenses,Gas & Misc.,Venmo for gas to Simpson Meet (Adam Smith),33
5/4/2022,POS,Expenses,Education/Training,Venmo for Hobo Dough (Wyatt Ash),50
5/6/2022,POS,Expenses,Education/Training,Venmo for Garmin watch (John Doe),90
5/9/2022,POS,Expenses,Other,Spent money at Kohls,157.28
5/9/2022,POS,Expenses,Other,Wrote Mom a check,30
5/16/2022,POS,Expenses,Credit Card,Paid off credit card,594.45
5/23/2022,DEP,Income,Transfer from Other,Venmo cashout,88.86
5/23/2022,POS,Expenses,Recreation,Withdrew cash to buy Apple Watch,120
5/27/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1328.85
5/27/2022,DEP,Income,Deposit Other,Deposit check from Mom,164
5/31/2022,POS,Expenses,Other,Venmo for City Wide Rummage for Mom,5
6/10/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1328.85
6/10/2022,POS,Expenses,Recreation,Venmo for Taco Bell (Emily Johnson),4.5
6/13/2022,POS,Expenses,Credit Card,Paid off credit card,901.8
6/21/2022,POS,Expenses,Credit Card,Paid off credit card,1238.6
6/24/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1328.85
6/27/2022,DEP,Income,Transfer from Other,Venmo cashout,25
6/28/2022,POS,Expenses,Health Care,Wrote a check to Dakota Dermatology,80
7/6/2022,POS,Expenses,Credit Card,Paid off credit card,322.56
7/8/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1328.85
7/13/2022,POS,Expenses,Recreation,Withdrew cash for something I can't remember,200
7/18/2022,DEP,Income,Transfer from Other,Venmo cashout,50
7/18/2022,DEP,Income,Transfer from Other,Transfer from Dad,2000
7/22/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1238.2
7/22/2022,POS,Expenses,Recreation,Venmo for coffee (Emily Johnson),3.5
8/1/2022,POS,Expenses,Credit Card,Paid off credit card,741.1
8/5/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1328.85
8/8/2022,POS,Expenses,Recreation,Venmo for Team Camp (Cleetus McFarmland),95
8/9/2022,POS,Expenses,Other,Wrote Mom a check,61
8/16/2022,POS,Expenses,Recreation,Venmo for pizza at Team Camp (Bob Roberts),7
8/16/2022,POS,Expenses,Recreation,Venmo for pizza at Team Camp (Bob Roberts),1.5
8/16/2022,POS,Expenses,Recreation,Venmo for pizza at Team Camp (Bob Roberts),2
8/19/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,1328.85
9/1/2022,POS,Expenses,Credit Card,Paid off credit card,756.95
9/2/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,90.67
9/2/2022,POS,Expenses,Education/Training,College University Tuition and Fees,5635.29
9/6/2022,DEP,Income,Transfer from Other,Venmo cashout,276.5
9/6/2022,POS,Expenses,Recreation,Venmo for skydiving (Jane Doe),200
9/6/2022,POS,Expenses,Recreation,Venmo for skydiving again (Jane Doe),100
9/15/2022,POS,Expenses,Recreation,Venmo for bread (Bob Roberts),4
9/16/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,231.2
9/26/2022,DEP,Income,Transfer from Other,Venmo cashout,50
9/26/2022,POS,Expenses,Recreation,Venmo for pizza after duck hunting (Cleetus McFarmland),4
9/26/2022,POS,Expenses,Credit Card,Paid off credit card,345.46
9/30/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,213.06
10/13/2022,POS,Expenses,Recreation,Venmo for skydiving pictures/video (Jane Doe),20
10/14/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,235.73
10/17/2022,DEP,Income,Transfer from Other,Venmo cashout,40
10/17/2022,POS,Expenses,Gas & Misc.,"Venmo for gas to Platte River Rumble in Omaha, NE (Adam Smith)",16.01
10/17/2022,POS,Expenses,Credit Card,Paid off credit card,391.77
10/24/2022,POS,Expenses,Recreation,Venmo for haunted house in Brookings (Jane Doe),25
10/26/2022,DEP,Income,Transfer from Other,Venmo cashout,57.5
10/26/2022,POS,Expenses,Groceries,Venmo for Walmart run (John Doe),13
10/27/2022,DEP,Income,Transfer from Other,Transfer from Dad (Dr. Levi),30
10/28/2022,DEP,Income,Deposit ONE,Corporate Industries Paycheck,172.27
11/1/2022,POS,Expenses,Other,Tranfer to Dad (House Payment mistake),1000
11/3/2022,POS,Expenses,Credit Card,Paid off credit card,586.61
11/3/2022,POS,Expenses,Recreation,Venmo for Collgege XC/TF hat (Will Letterman),22
